name,mcc,service_line,segment,service_offering,contract_type,planned_cost,actual_cost,planned_effort,actual_effort,resource_count,start_date,end_date,tech_stack,status,baseline_rpp,latest_rpp,dollar_impact,project_margin_baseline,project_margin_latest,onsite_mix_pct
A50AMPDAENGCDPE,APPLE,ENG,CRL,Maintenance,FP,210000.0,210000.0,12.0,11.68,2,2024-09-29,2025-09-27,ENG,Underrun,17500.0,17979.45,-4253.58,0.348,0.26,1.0
A50APBLRENGCDPE,APPLE,ENG,CRL,Non Maintenance,FP,168700.0,168700.0,51.99,49.14,9,2024-09-29,2025-09-27,ENG,Underrun,3244.85,3433.05,-3367.52,0.623,0.648,0.0
A51INBLRENGCDPE,APPLE,ENG,CRL,Non Maintenance,FP,500000.0,500000.0,80.7,75.33,13,2025-01-01,2025-06-30,ENG,Underrun,6195.79,6637.46,-18750.74,0.496,0.538,0.25
AADDEV25DNA,APPLE,DNA,CRL,Maintenance,FP,70280.0,125160.0,30.52,32.7,5,2023-12-18,2025-09-30,DNA,Underrun,2302.75,3827.52,-25388.29,0.647,0.69,0.0
AADDSA25DNA,APPLE,DNA,CRL,Maintenance,FP,70560.0,70560.0,21.0,22.0,4,2024-10-01,2025-09-30,DNA,Overrun,3360.0,3207.27,1142.48,0.637,0.652,0.0
ABABLSTPESAP,ABBMST,EAS,COREMFG,Maintenance,FP,1737496.04,1781178.64,406.97,469.1,68,2022-11-17,2027-12-31,EAS,Overrun,4269.35,3797.01,59372.3,0.601,0.669,0.0
ABABLSTPMFGADM,ABBMST,ADM,COREMFG,Maintenance,FP,4080.18,41814.58,4.77,9.0,1,2022-11-17,2027-12-31,ADM,Underrun,855.38,4646.06,-48761.03,0.013,0.731,0.0
ABBDISERCIS,ABBMST,CIS,COREMFG,Maintenance,FP,132036.0,132036.0,22.94,22.94,4,2025-01-01,2025-12-31,CIS,Underrun,5755.71,5755.71,-16.79,0.671,0.674,0.0
ABBELL3PENGCDPE,ABBMST,ENG,COREMFG,Maintenance,FP,547799.0,702731.1,176.27,229.01,29,2021-03-01,2025-12-31,ENG,Overrun,3107.73,3068.56,3150.44,0.625,0.632,0.0
ABBELRUNENGCDPE,ABBMST,ENG,COREMFG,Maintenance,FP,649343.0,897779.0,214.34,276.41,36,2021-01-01,2025-12-31,ENG,Underrun,3029.5,3248.0,-25596.35,0.573,0.631,0.0
ABBELSBPENGCDPE,ABBMST,ENG,COREMFG,Non Maintenance,FP,1470835.0,2000935.32,303.15,385.06,51,2021-05-03,2025-12-31,ENG,Underrun,4851.84,5196.42,-80709.79,0.442,0.47,0.14
ABBIADM1BPOSERV,ABBMST,BPOSERV,COREMFG,Maintenance,FP,0.0,0.0,0.0,0.0,1,2020-09-01,2026-06-30,BPOSERV,Underrun,,,0.0,0.0,0.0,
ABBIADM1CIS,ABBMST,CIS,COREMFG,Maintenance,FP,4412561.31,6159921.71,1733.21,2164.03,289,2020-09-01,2026-06-30,CIS,Underrun,2545.89,2846.5,-516771.84,0.288,0.389,0.08
ABBIADM1EAISDLY,ABBMST,EAS,COREMFG,Maintenance,FP,3196050.72,3996564.45,1170.99,1495.91,195,2020-09-01,2026-06-30,EAS,Overrun,2729.36,2671.66,20122.81,0.523,0.523,0.02
ABBIADM1ENGCDPE,ABBMST,ENG,COREMFG,Maintenance,FP,380809.88,463994.31,142.25,165.26,24,2020-09-01,2026-06-30,ENG,Underrun,2677.05,2807.66,-4420.52,0.755,0.8,0.0
ABBIADM1MFGADM,ABBMST,ADM,COREMFG,Maintenance,FP,6064930.07,7052712.71,2043.18,2443.07,341,2020-09-01,2026-06-30,ADM,Overrun,2968.38,2886.82,61921.31,0.659,0.644,0.01
ABBIADM1MICROSFT,ABBMST,MICROSFT,COREMFG,Maintenance,FP,21466.12,21466.12,0.0,0.0,1,2020-09-01,2026-06-30,MICROSFT,Underrun,,,0.0,1.0,1.0,
ABBIENH1CIS,ABBMST,CIS,COREMFG,Non Maintenance,FP,1239387.42,1525538.92,278.44,330.37,46,2020-12-01,2025-12-31,CIS,Underrun,4451.18,4617.67,-18615.32,0.762,0.729,0.0
ABBIENH1EAISDLY,ABBMST,EAS,COREMFG,Non Maintenance,FP,0.0,0.0,0.0,0.0,1,2020-12-01,2025-12-31,EAS,Underrun,,,0.0,0.0,0.0,
ABBIENH1MFGADM,ABBMST,ADM,COREMFG,Non Maintenance,FP,25200.0,88730.3,12.58,15.49,2,2020-12-01,2025-12-31,ADM,Underrun,2003.18,5728.23,-39783.97,0.31,0.758,0.0
ABBIENH1MICROSFT,ABBMST,MICROSFT,COREMFG,Non Maintenance,FP,25820.0,25820.0,11.6,11.6,2,2020-12-01,2025-12-31,MICROSFT,Overrun,2225.86,2225.86,0.0,0.585,0.585,0.0
ABBILXIQIQE,ABBMST,IQE,COREMFG,Non Maintenance,FP,64200.0,64200.0,24.0,26.02,4,2025-01-01,2025-12-31,IQE,Overrun,2675.0,2467.33,1056.45,0.79,0.78,0.0
ABBINMFGCIS,ABBMST,CIS,COREMFG,Maintenance,FP,3851284.0,3766264.67,1475.83,1516.03,246,2021-01-01,2026-12-31,CIS,Overrun,2609.57,2484.29,68629.99,0.637,0.621,0.0
ABBIPAPAMFGADM,ABBMST,ADM,COREMFG,Maintenance,FP,504078.0,678308.0,131.53,176.59,22,2021-01-18,2025-12-31,ADM,Overrun,3832.42,3841.15,218.99,0.728,0.692,0.0
ABBIPLH1MFGADM,ABBMST,ADM,COREMFG,Maintenance,FP,135804.0,174171.0,53.83,65.89,9,2021-04-01,2025-12-31,ADM,Underrun,2522.83,2643.36,-2719.64,0.641,0.647,0.0
ABBIVSPNIQE,ABBMST,IQE,COREMFG,Non Maintenance,FP,400000.0,618675.0,74.97,140.95,12,2024-04-01,2025-12-31,IQE,Overrun,5335.47,4389.32,34247.5,0.708,0.668,0.0
ABBMOTR1ENGCDPE,ABBMST,ENG,COREMFG,Non Maintenance,FP,937564.0,1080268.0,174.7,226.01,29,2021-01-01,2026-12-31,ENG,Underrun,5366.71,4779.74,-14322.65,0.444,0.457,0.21
ABBPMSHPDX,ABBMST,DX,COREMFG,Non Maintenance,FP,70602.0,204385.16,10.0,44.07,2,2024-03-01,2025-12-31,DX,Overrun,7060.2,4637.74,29815.93,0.675,0.573,0.0
ABBQDIQIQE,ABBMST,IQE,COREMFG,Non Maintenance,FP,19459.0,19459.0,6.0,6.68,1,2024-10-01,2025-12-31,IQE,Overrun,3243.17,2913.02,574.53,0.752,0.71,0.0
ABBRCPH7ENGCDPE,ABBMST,ENG,COREMFG,Non Maintenance,FP,230400.0,328200.0,66.87,94.71,11,2022-08-01,2026-01-05,ENG,Underrun,3445.49,3465.32,-395.34,0.782,0.744,0.0
ABBRP4MYENGCDPE,ABBMST,ENG,COREMFG,Maintenance,FP,284376.0,364912.0,89.1,152.72,15,2024-01-01,2025-04-15,ENG,Overrun,3191.65,2389.42,40373.59,0.686,0.568,0.0
ABDDXSM2DX,ABBMST,DX,COREMFG,Non Maintenance,FP,15000.0,15000.0,3.01,0.01,1,2024-12-15,2025-06-30,DX,Underrun,4983.39,1500000.0,-4620.0,0.691,0.999,0.0
ABDICHYZDX,ABBMST,DX,COREMFG,Non Maintenance,FP,90000.0,90000.0,15.01,16.0,3,2024-12-01,2025-06-30,DX,Overrun,5996.0,5625.0,2440.43,0.609,0.558,0.0
ABLNIBLRDX,ABBMST,DX,COREMFG,Non Maintenance,FP,32000.0,32000.0,3.97,3.97,1,2024-12-01,2025-07-31,DX,Overrun,8060.45,8060.45,6.59,0.778,0.795,0.0
ABLNIHYDDX,ABBMST,DX,COREMFG,Non Maintenance,FP,40000.0,40000.0,3.56,5.55,1,2024-07-15,2026-01-31,DX,Underrun,11235.96,7207.21,-3804.18,0.399,0.55,1.0
ABMDXMSTBPOSERV,ABBMST,BPOSERV,COREMFG,Maintenance,FP,11642.0,11642.0,23.96,23.96,4,2020-05-01,2026-04-30,BPOSERV,Underrun,485.89,485.89,0.0,-0.55,,0.0
ABMDXMSTBPOTSO,ABBMST,BPOTSO,COREMFG,Maintenance,FP,44506.66,44506.66,0.0,0.0,1,2020-05-01,2026-04-30,BPOTSO,Underrun,,,0.0,1.0,1.0,
ABMDXMSTCIS,ABBMST,CIS,COREMFG,Maintenance,FP,1193477.93,1193477.93,301.69,311.18,50,2020-05-01,2026-04-30,CIS,Overrun,3955.97,3835.33,13338.89,0.652,0.637,0.0
ABMDXMSTDNA,ABBMST,DNA,COREMFG,Maintenance,FP,182240.93,182240.93,27.08,27.08,5,2020-05-01,2026-04-30,DNA,Underrun,6729.72,6729.72,0.0,0.824,0.824,0.0
ABMDXMSTDX,ABBMST,DX,COREMFG,Maintenance,FP,4793103.58,4793103.58,1029.2,1016.53,172,2020-05-01,2026-04-30,DX,Underrun,4657.12,4715.16,-14619.63,0.58,0.562,0.14
ABMDXMSTMFGADM,ABBMST,ADM,COREMFG,Maintenance,FP,0.0,0.0,1.06,1.06,1,2020-05-01,2026-04-30,ADM,Underrun,0.0,0.0,0.0,0.0,0.0,0.0
ABMDXMSTSEC,ABBMST,SEC,COREMFG,Maintenance,FP,339493.14,339493.14,61.22,61.22,10,2020-05-01,2026-04-30,SEC,Underrun,5545.46,5545.46,0.0,0.277,0.277,0.38
ABOTAMSPBPOSERV,ABBMST,BPOSERV,COREMFG,Maintenance,FP,3511.0,3511.0,0.0,0.0,1,2023-08-01,2025-07-31,BPOSERV,Underrun,,,0.0,1.0,1.0,
ABOTAMSPDX,ABBMST,DX,COREMFG,Maintenance,FP,416289.0,416289.0,218.39,175.72,36,2023-08-01,2025-07-31,DX,Underrun,1906.17,2369.05,-47130.5,0.561,0.399,0.0
ABPAMVZ7CIS,ABBMST,CIS,COREMFG,Non Maintenance,FP,529760.0,529760.0,132.0,121.57,22,2024-05-01,2026-12-31,CIS,Underrun,4013.33,4357.65,-13473.27,0.674,0.722,0.0
ABPMTMSTDX,ABBMST,DX,COREMFG,Non Maintenance,FP,222236.09,505136.09,61.98,120.92,10,2023-05-01,2026-04-30,DX,Underrun,3585.61,4177.44,-21277.37,0.699,0.745,0.0
ABPMTMSTMFGADM,ABBMST,ADM,COREMFG,Non Maintenance,FP,57179.11,57179.11,7.0,7.0,1,2023-05-01,2026-04-30,ADM,Underrun,8168.44,8168.44,0.0,0.819,0.819,0.0
ABSBLSTSESAP,ABBMST,EAS,COREMFG,Maintenance,FP,219357.0,267664.35,56.74,54.11,9,2023-10-01,2025-12-31,EAS,Underrun,3866.0,4946.67,-23667.64,0.637,0.686,0.0
ABSBLSTSMFGADM,ABBMST,ADM,COREMFG,Maintenance,FP,90381.0,42073.65,46.0,23.7,8,2023-10-01,2025-12-31,ADM,Overrun,1964.8,1775.26,3203.08,0.383,0.214,0.0
ACCPUNSDBPOSERV,ABBMST,BPOSERV,COREMFG,Maintenance,FP,1182625.0,1182625.2,532.84,532.93,89,2023-01-01,2027-06-30,BPOSERV,Overrun,2219.47,2219.1,1412.44,0.654,0.643,0.0
ACDPHS24DNA,APPLE,DNA,CRL,Non Maintenance,FP,361560.0,392640.0,91.39,110.99,15,2024-06-03,2025-05-16,DNA,Overrun,3956.23,3537.62,21153.79,0.558,0.499,0.0
ACDPHS24IQE,APPLE,IQE,CRL,Non Maintenance,FP,73440.0,73440.0,22.74,22.02,4,2024-06-03,2025-05-16,IQE,Underrun,3229.55,3335.15,-709.07,0.0,0.669,0.0
ACIOIOP2DNA,APPLE,DNA,CRL,Maintenance,FP,105000.0,210000.0,25.41,63.56,4,2024-09-29,2025-09-27,DNA,Overrun,4132.23,3303.96,15180.69,0.576,0.641,0.0
ACOCLE25CRLADM,APPLE,ADM,CRL,Maintenance,FP,26553.0,70372.0,7.97,12.5,1,2024-09-29,2025-09-27,ADM,Underrun,3331.62,5629.76,-3555.26,0.707,0.879,0.0
ACOCLE25ENGCDPE,APPLE,ENG,CRL,Maintenance,FP,26553.0,36680.0,2.97,8.3,1,2024-09-29,2025-09-27,ENG,Overrun,8940.4,4419.28,6349.39,0.742,0.62,0.0
ACOFIN25CRLADM,APPLE,ADM,CRL,Maintenance,FP,386990.0,722808.0,60.91,119.49,10,2024-09-29,2025-09-27,ADM,Overrun,6353.47,6049.11,137.14,0.606,0.514,0.19
ACOFIN25ENGCDPE,APPLE,ENG,CRL,Maintenance,FP,0.0,92920.0,2.97,5.74,1,2024-09-29,2025-09-27,ENG,Underrun,0.0,16188.15,-48768.16,0.0,0.013,1.0
ACOPAC25CRLADM,APPLE,ADM,CRL,Maintenance,FP,316182.0,637308.0,50.45,96.33,8,2024-09-29,2025-09-27,ADM,Underrun,6267.23,6615.88,-3063.84,0.563,0.535,0.19
ACPEMP25CRLADM,APPLE,ADM,CRL,Maintenance,FP,333884.0,672992.0,43.99,93.33,7,2024-09-29,2025-09-27,ADM,Underrun,7590.0,7210.89,-4790.08,0.559,0.461,0.26
ACPEMP25ORCDLY,APPLE,EAS,CRL,Maintenance,FP,0.0,0.0,0.0,2.0,1,2024-09-29,2025-09-27,EAS,Overrun,,0.0,7049.78,0.0,0.0,
ACPHCL25CIS,APPLE,CIS,CRL,Maintenance,FP,106186.0,212078.0,17.81,34.94,3,2024-09-29,2025-09-27,CIS,Overrun,5962.16,6069.78,46054.31,0.0,0.476,0.0
ACPHCL25CRLADM,APPLE,ADM,CRL,Maintenance,FP,242966.0,492506.0,37.87,75.46,6,2024-09-29,2025-09-27,ADM,Underrun,6415.79,6526.72,-30002.35,0.615,0.446,0.28
ACWXCQJ1ECASDLY,CAREMARK,EAS,HC,Maintenance,FP,159120.0,1109760.01,11.12,83.8,2,2024-01-01,2026-03-31,EAS,Overrun,14309.35,13242.96,28106.09,0.881,0.657,1.0
